Burden,Season,Date,Low,High,,,,,,,,
Hospitalizations,2024-2025,8/2/2025,"310,000","470,000",,,,,,,,
Outpatient visits,2024-2025,8/2/2025,"2,700,000","4,200,000",,,,,,,,
Illnesses,2024-2025,8/2/2025,"11,300,000","17,600,000",,,,,,,,
Deaths,2024-2025,8/9/2025,"37,000","56,000",,,,,,,,
Hospitalizations,2024-2025,8/9/2025,"320,000","480,000",,,,,,,,
Outpatient visits,2024-2025,8/9/2025,"2,800,000","4,200,000",,,,,,,,
Illnesses,2024-2025,8/9/2025,"11,500,000","18,000,000",,,,,,,,
Deaths,2024-2025,8/16/2025,"38,000","57,000",,,,,,,,
Hospitalizations,2024-2025,8/16/2025,"330,000","490,000",,,,,,,,
Outpatient visits,2024-2025,8/16/2025,"2,900,000","4,300,000",,,,,,,,
Illnesses,2024-2025,8/16/2025,"12,000,000","18,300,000",,,,,,,,
Deaths,2024-2025,8/23/2025,"39,000","57,000",,,,,,,,
Hospitalizations,2024-2025,8/23/2025,"340,000","500,000",,,,,,,,
Outpatient visits,2024-2025,8/23/2025,"2,900,000","4,300,000",,,,,,,,
Illnesses,2024-2025,8/23/2025,"12,400,000","18,600,000",,,,,,,,
Deaths,2024-2025,8/30/2025,"39,000","58,000",,,,,,,,
Hospitalizations,2024-2025,8/30/2025,"350,000","510,000",,,,,,,,
Outpatient visits,2024-2025,8/30/2025,"3,000,000","4,400,000",,,,,,,,
Illnesses,2024-2025,8/30/2025,"12,700,000","19,100,000",,,,,,,,
Deaths,2024-2025,9/6/2025,"42,000","60,000",,,,,,,,
Hospitalizations,2024-2025,9/6/2025,"360,000","520,000",,,,,,,,
Outpatient visits,2024-2025,9/6/2025,"3,200,000","4,600,000",,,,,,,,
Illnesses,2024-2025,9/6/2025,"13,200,000","19,400,000",,,,,,,,
Deaths,2024-2025,9/13/2025,"42,000","61,000",,,,,,,,
Hospitalizations,2024-2025,9/13/2025,"370,000","530,000",,,,,,,,
Outpatient visits,2024-2025,9/13/2025,"3,200,000","4,700,000",,,,,,,,
Illnesses,2024-2025,9/13/2025,"13,400,000","20,000,000",,,,,,,,
Deaths,2024-2025,9/20/2025,"44,000","63,000",,,,,,,,
Hospitalizations,2024-2025,9/20/2025,"380,000","540,000",,,,,,,,
Outpatient visits,2024-2025,9/20/2025,"3,300,000","4,800,000",,,,,,,,
Illnesses,2024-2025,9/20/2025,"13,800,000","20,300,000",,,,,,,,
Deaths,2024-2025,9/27/2025,"45,000","64,000",,,,,,,,
Hospitalizations,2024-2025,9/27/2025,"390,000","550,000",,,,,,,,
Outpatient visits,2024-2025,9/27/2025,"3,400,000","4,800,000",,,,,,,,
Illnesses,2024-2025,9/27/2025,"14,100,000","20,700,000",,,,,,,,
Deaths,2025-2026,1/31/2026,"9,200","25,000",,,,,,,,
Hospitalizations,2025-2026,1/31/2026,"86,000","140,000",,,,,,,,
Outpatient visits,2025-2026,1/31/2026,"540,000","1,400,000",,,,,,,,
Illnesses,2025-2026,1/31/2026,"2,600,000","7,300,000",,,,,,,,
Deaths,2025-2026,2/7/2026,"9,300","26,000",,,,,,,,
Hospitalizations,2025-2026,2/7/2026,"90,000","150,000",,,,,,,,
Outpatient visits,2025-2026,2/7/2026,"590,000","1,500,000",,,,,,,,
Illnesses,2025-2026,2/7/2026,"2,800,000","7,900,000",,,,,,,,
Deaths,2025-2026,2/14/2026,"10,000","28,000",,,,,,,,
Hospitalizations,2025-2026,2/14/2026,"95,000","160,000",,,,,,,,
Outpatient visits,2025-2026,2/14/2026,"600,000","1,600,000",,,,,,,,
Illnesses,2025-2026,2/14/2026,"2,900,000","8,400,000",,,,,,,,
Deaths,2025-2026,2/21/2026,"10,000","30,000",,,,,,,,
Hospitalizations,2025-2026,2/21/2026,"96,000","170,000",,,,,,,,
Outpatient visits,2025-2026,2/21/2026,"610,000","1,600,000",,,,,,,,
Illnesses,2025-2026,2/21/2026,"3,100,000","9,000,000",,,,,,,,
Deaths,2025-2026,2/28/2026,"11,000","32,000",,,,,,,,
Hospitalizations,2025-2026,2/28/2026,"99,000","180,000",,,,,,,,
Outpatient visits,2025-2026,2/28/2026,"640,000","1,800,000",,,,,,,,
Illnesses,2025-2026,2/28/2026,"3,200,000","9,400,000",,,,,,,,
Deaths,2025-2026,3/7/2026,"11,000","33,000",,,,,,,,
Hospitalizations,2025-2026,3/7/2026,"100,000","190,000",,,,,,,,
Outpatient visits,2025-2026,3/7/2026,"650,000","1,800,000",,,,,,,,
Illnesses,2025-2026,3/7/2026,"3,200,000","10,000,000",,,,,,,,
Deaths,2025-2026,3/14/2026,"12,000","35,000",,,,,,,,
Hospitalizations,2025-2026,3/14/2026,"110,000","210,000",,,,,,,,
Outpatient visits,2025-2026,3/14/2026,"680,000","1,900,000",,,,,,,,
Illnesses,2025-2026,3/14/2026,"3,300,000","10,400,000",,,,,,,,
Deaths,2025-2026,3/21/2026,"12,000","37,000",,,,,,,,
Hospitalizations,2025-2026,3/21/2026,"110,000","210,000",,,,,,,,
Outpatient visits,2025-2026,3/21/2026,"700,000","2,000,000",,,,,,,,
Illnesses,2025-2026,3/21/2026,"3,400,000","10,800,000",,,,,,,,
Deaths,2025-2026,3/28/2026,"12,000","37,000",,,,,,,,
Hospitalizations,2025-2026,3/28/2026,"110,000","220,000",,,,,,,,
Outpatient visits,2025-2026,3/28/2026,"720,000","2,000,000",,,,,,,,
Illnesses,2025-2026,3/28/2026,"3,500,000","11,000,000",,,,,,,,
Deaths,2025-2026,4/4/2026,"12,000","38,000",,,,,,,,
Hospitalizations,2025-2026,4/4/2026,"110,000","230,000",,,,,,,,
Outpatient visits,2025-2026,4/4/2026,"720,000","2,100,000",,,,,,,,
Illnesses,2025-2026,4/4/2026,"3,600,000","11,500,000",,,,,,,,
Deaths,2025-2026,4/11/2026,"13,000","40,000",,,,,,,,
Hospitalizations,2025-2026,4/11/2026,"110,000","230,000",,,,,,,,
Outpatient visits,2025-2026,4/11/2026,"750,000","2,200,000",,,,,,,,
Illnesses,2025-2026,4/11/2026,"3,700,000","11,800,000",,,,,,,,
Deaths,2025-2026,4/18/2026,"13,000","40,000",,,,,,,,
Hospitalizations,2025-2026,4/18/2026,"110,000","240,000",,,,,,,,
Outpatient visits,2025-2026,4/18/2026,"740,000","2,200,000",,,,,,,,
Illnesses,2025-2026,4/18/2026,"3,700,000","11,900,000",,,,,,,,
Deaths,2025-2026,4/25/2026,"12,000","41,000",,,,,,,,
Hospitalizations,2025-2026,4/25/2026,"120,000","250,000",,,,,,,,
Outpatient visits,2025-2026,4/25/2026,"740,000","2,300,000",,,,,,,,
Illnesses,2025-2026,4/25/2026,"3,900,000","12,400,000",,,,,,,,
