Flu Season,Age Group,Population,Symptomatic Illnesses,Symptomatic Illnesses 95% UI Lower Bound,Symptomatic Illnesses 95% UI Upper Bound,Symptomatic Illness Rate,Symptomatic Illness Rate 95% UI Lower Bound,Symptomatic Illness Rate 95% UI Upper Bound,Medical Visits,Medical Visits 95% UI Lower Bound,Medical Visits 95% UI Upper Bound,Medical Visit Rate,Medical Visit Rate 95% UI Lower Bound,Medical Visit Rate 95% UI Upper Bound,Hospitalizations,Hospitalizations 95% UI Lower Bound,Hospitalizations 95% UI Upper Bound,Hospitalization Rate,Hospitalization Rate 95% UI Lower Bound,Hospitalization Rate 95% UI Upper Bound,Deaths,Deaths 95% UI Lower Bound,Deaths 95% UI Upper Bound,Death Rate,Death Rate 95% UI Lower Bound,Death Rate 95% UI Upper Bound
2022-2023,0-4 yrs,18538353,2619030,2249523,5287196,14127.6,12134.4,28520.3,1754750,1337047,3511799,9465.5,7212.3,18943.4,18259,15683,36860,98.5,84.6,198.8,151,29,349,0.8,0.2,1.9
2022-2023,5-17 yrs,53912474,7326572,5908967,14858495,13589.8,10960.3,27560.4,3809817,2766378,7836649,7066.7,5131.2,14535.9,20089,16202,40741,37.3,30.1,75.6,325,99,726,0.6,0.2,1.3
2022-2023,18-49 yrs,140148894,10918603,8176263,23243035,7790.7,5834,16584.5,4039883,2620493,8822068,2882.6,1869.8,6294.8,61286,45893,130463,43.7,32.7,93.1,1266,791,2719,0.9,0.6,1.9
2022-2023,50-64 yrs,62892984,5987192,4693605,12442791,9519.6,7462.8,19784.1,2574492,1679446,5583346,4093.4,2670.3,8877.5,63493,49774,131952,101,79.1,209.8,4093,3104,8542,6.5,4.9,13.6
2022-2023,65+ yrs,57794852,1932667,1343753,3857020,3344,2325,6673.6,1082294,665105,2279827,1872.6,1150.8,3944.7,175697,122159,350638,304,211.4,606.7,19185,12045,42058,33.2,20.8,72.8
2022-2023,All Ages,333287557,28784064,24506872,43147844,8636.4,7353.1,12946.1,13261237,10915198,19496025,3978.9,3275,5849.6,338823,273245,537445,101.7,82,161.3,25020,17626,48405,7.5,5.3,14.5
2023-2024,0-4 yrs,18511160,2556047,2197093,5245487,13808.1,11869,28336.9,1712552,1310883,3473435,9251.5,7081.6,18764,17820,15317,36569,96.3,82.7,197.6,275,62,538,1.5,0.3,2.9
2023-2024,5-17 yrs,54320701,8224211,6646154,16688328,15140.1,12235,30721.9,4276590,3099730,8769774,7872.9,5706.4,16144.4,22550,18223,45758,41.5,33.5,84.2,237,104,807,0.4,0.2,1.5
2023-2024,18-49 yrs,140303491,15660509,11634074,33264330,11161.9,8292.1,23708.8,5794388,3740367,12533446,4129.9,2665.9,8933.1,87903,65302,186713,62.7,46.5,133.1,2361,1701,6604,1.7,1.2,4.7
2023-2024,50-64 yrs,62531182,8444156,6608975,17530642,13503.9,10569.1,28035,3630987,2372518,7798223,5806.7,3794.1,12470.9,89548,70086,185908,143.2,112.1,297.3,5166,3065,11428,8.3,4.9,18.3
2023-2024,65+ yrs,59248361,2386916,1653801,4743785,4028.7,2791.3,8006.6,1336673,813513,2812092,2256.1,1373.1,4746.3,216992,150346,431253,366.2,253.8,727.9,17778,14600,51186,30,24.6,86.4
2023-2024,All Ages,334914895,37271839,31540307,56997973,11128.7,9417.4,17018.6,16751190,13581257,24988821,5001.6,4055.1,7461.2,434813,349774,682067,129.8,104.4,203.7,25818,21863,60784,7.7,6.5,18.1
2024-2025,0-4 yrs,18599314,3203225,2764850,6522560,17222.3,14865.3,35068.8,2146161,1646883,4333451,11538.9,8854.5,23299,22331,19275,45472,120.1,103.6,244.5,433,125,802,2.3,0.7,4.3
2024-2025,5-17 yrs,54533406,10072418,8151286,20493154,18470.2,14947.3,37579.1,5237657,3797797,10763069,9604.5,6964.2,19736.7,27618,22350,56190,50.6,41,103,357,195,1156,0.7,0.4,2.1
2024-2025,18-49 yrs,143650318,20220706,15084945,42840001,14076.3,10501.2,29822.4,7481661,4848382,16179760,5208.2,3375.1,11263.3,113499,84672,240461,79,58.9,167.4,2929,2138,8115,2,1.5,5.6
2024-2025,50-64 yrs,62148032,13086265,10213509,27159964,21056.6,16434.2,43702,5627094,3678145,12045947,9054.3,5918.4,19382.7,138776,108311,288024,223.3,174.3,463.4,9485,5767,20683,15.3,9.3,33.3
2024-2025,65+ yrs,61179918,4484005,3107842,8972886,7329.2,5079.8,14666.4,2511043,1528421,5249161,4104.4,2498.2,8579.9,407637,282531,815717,666.3,461.8,1333.3,31734,26075,92161,51.9,42.6,150.6
2024-2025,All Ages,340110988,51066619,43061064,76353841,15014.7,12660.9,22449.7,23003616,18704879,33786514,6763.6,5499.6,9934,709861,561721,1152703,208.7,165.2,338.9,44938,37968,106911,13.2,11.2,31.4
